"SAMPLING_REQUIREMENT","SPECIES_CODE","LENGTH_WEIGHT_A_MALE","LENGTH_WEIGHT_B_MALE","LENGTH_WEIGHT_A_FEMALE","LENGTH_WEIGHT_B_FEMALE","LENGTH_WEIGHT_A_UNSPECIFIED","LENGTH_WEIGHT_B_UNSPECIFIED","MAXIMUM_LENGTH","MATURE_LENGTH","LENGTH_TYPE","LENGTH_UNITS","WEIGHT_TYPE","WEIGHT_UNITS"
"Comparative",10,0.006112,3.111,0.006112,3.111,0.006112,3.111,140,30,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",11,0.008295,3.05064,0.008295,3.05064,0.008295,3.05064,90,20,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",12,0.003199,3.2231,0.003199,3.2231,0.003199,3.2231,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",13,0.002887,3.220026,0.002887,3.220026,0.002887,3.220026,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",14,0.003369,3.209943,0.003369,3.209943,0.003369,3.209943,75,15,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",15,0.0042,3.218504,0.0042,3.218504,0.0042,3.218504,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",16,0.010377,3.010775,0.010377,3.010775,0.010377,3.010775,105,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",17,0.004524,3.17753,0.004524,3.17753,0.004524,3.17753,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",19,0.005185,3.110316,0.005185,3.110316,0.005185,3.110316,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",23,0.013098,3.047154,0.013098,3.047155,0.013098,3.047154,60,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",30,0.005376,3.175075,0.005376,3.175075,0.005376,3.175075,200,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",31,0.003786,3.22122,0.003786,3.22122,0.003786,3.22122,200,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",39,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",40,0.003651,3.229647,0.003651,3.229647,0.003651,3.229647,95,15,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",41,0.003425,3.156716,0.003425,3.156716,0.003425,3.156716,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",42,0.010081,2.925636,0.010081,2.925636,0.010081,2.925636,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",43,0.005748,3.21798,0.005748,3.21798,0.005718,3.21798,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",44,0.006458,3.049923,0.006458,3.049923,0.006458,3.049923,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",49,,,,,,,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",50,0.006526,3.078871,0.006526,3.078871,0.006526,3.078871,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",51,0.01,3,0.01,3,0.01,3,120,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",52,0.01661,2.815,0.01661,2.815,0.01661,2.815,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",60,0.0000010263,3.3676165500000002,0.0000010263,3.3676165500000002,0.0000010263,3.3676165500000002,400,0,"Total Length","Millimeters","Total Weight","Grams"
"Comparative",61,0.015366,2.943786,0.015366,2.943786,0.015366,2.943786,55,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",62,0.017122,2.870475,0.017122,2.870475,0.017122,2.870475,35,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",63,0.000786,3.75,0.000786,3.75,0.000786,3.75,22,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",64,0.004953,3.012575,0.004953,3.012575,0.004953,3.012575,30,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",65,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",70,0.005924,3.158443,0.005924,3.158443,0.005924,3.158443,45,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",94,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",112,0.004853,3.044024,0.004853,3.044024,0.004853,3.044024,50,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",113,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",114,0.002588,3.175961,0.002588,3.175961,0.002588,3.175961,50,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",115,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",122,0.03093,2.794148,0.03093,2.794148,0.03093,2.794148,48,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",123,0.014281,3.040681,0.014281,3.040681,0.014281,3.040681,50,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",141,,,,,,,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",142,0.000471,3.817392,0.000471,3.817392,0.000471,3.817392,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",143,,,,,,,50,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",147,0.00917,2.67,0.00917,2.67,0.00917,2.67,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",149,0.0088,2.91,0.0088,2.91,0.0088,2.91,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",150,0.039952,2.275477,0.039952,2.275477,0.039952,2.275477,20,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",155,0.0897,2.03,0.0897,2.03,0.0897,2.03,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",156,0.001481,3.68621,0.001481,3.68621,0.001481,3.68621,24,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",158,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
