SAMPLING_REQUIREMENT,SPECIES_CODE,LENGTH_WEIGHT_A_MALE,LENGTH_WEIGHT_B_MALE,LENGTH_WEIGHT_A_FEMALE,LENGTH_WEIGHT_B_FEMALE,LENGTH_WEIGHT_A_UNSPECIFIED,LENGTH_WEIGHT_B_UNSPECIFIED,MAXIMUM_LENGTH,MATURE_LENGTH,LENGTH_TYPE,LENGTH_UNITS,WEIGHT_TYPE,WEIGHT_UNITS
Georges Bank,10,0.006533374,3.085052576,0.006533374,3.085052576,0.006533374,3.085052576,140,30,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,11,0.008389364,3.032280124,0.008389364,3.032280124,0.008389364,3.032280124,90,20,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,12,0.003065658,3.237492109,0.003065658,3.237492109,0.003065658,3.237492109,120,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,13,0.002846173,3.228043316,0.002846173,3.228043316,0.002846173,3.228043316,120,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,14,0.003290168,3.185513377,0.003576634,3.164515151,0.005852643,2.980706907,75,15,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,15,0.004195648,3.213912388,0.004195648,3.213912388,0.004195648,3.213912388,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,16,0.008911857,3.040442223,0.008911857,3.040442223,0.008911857,3.040442223,105,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,19,0.002194467,3.334205461,0.002194467,3.334205461,0.002194467,3.334205461,120,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,20,0.009964753,3.117957121,0.009964753,3.117957121,0.009964753,3.117957121,29,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,23,0.0105072,3.111076848,0.0105072,3.111076848,0.0105072,3.111076848,60,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,30,0.004521918,3.210222773,0.004521918,3.210222773,0.004521918,3.210222773,200,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,31,0.003450993,3.244593144,0.003450993,3.244593144,0.003450993,3.244593144,200,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,40,0.003892399,3.200923552,0.003892399,3.200923552,0.003892399,3.200923552,95,15,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,41,0.002533558,3.239304939,0.002533558,3.239304939,0.002533558,3.239304939,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,42,0.004452525,3.171060631,0.004452525,3.171060631,0.004452525,3.171060631,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,43,0.00965237,3.051055396,0.00965237,3.051055396,0.00965237,3.051055396,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,44,0.008751771,2.916653022,0.008751771,2.916653022,0.008751771,2.916653022,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,49,,,,,,,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,50,0.007678756,3.027006157,0.007678756,3.027006157,0.007678756,3.027006157,120,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,51,0.006912118,3.087304625,0.006912118,3.087304625,0.006912118,3.087304625,120,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,52,0.013938513,2.904192151,0.013938513,2.904192151,0.013938513,2.904192151,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,60,3.25E-06,3.121436385,3.25E-06,3.121436385,3.25E-06,3.121436385,400,0,Total Length,Millimeters,Total Weight,Grams
Georges Bank,61,0.005161678,3.243783805,0.005161678,3.243783805,0.005161678,3.243783805,55,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,62,0.007059552,3.156102257,0.007059552,3.156102257,0.007059552,3.156102257,35,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,64,0.002972159,3.196063666,0.002972159,3.196063666,0.002972159,3.196063666,30,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,70,0.003055827,3.32297441,0.003055827,3.32297441,0.003055827,3.32297441,45,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,112,0.003516692,3.134647889,0.003516692,3.134647889,0.003516692,3.134647889,120,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,114,0.002934873,3.137164324,0.002934873,3.137164324,0.002934873,3.137164324,200,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,118,0.011204752,3.014441033,0.011204752,3.014441033,0.011204752,3.014441033,47,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,122,0.008356669,3.178785125,0.008356669,3.178785125,0.008356669,3.178785125,48,1,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,123,0.012291552,3.100020972,0.012291552,3.100020972,0.012291552,3.100020972,50,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,138,0.035023584,2.589853495,0.035023584,2.589853495,0.035023584,2.589853495,17,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,141,0.001983401,3.434116925,0.001983401,3.434116925,0.001983401,3.434116925,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,142,0.00258478,3.319485107,0.00258478,3.319485107,0.00258478,3.319485107,100,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,143,0.010701287,3.002235565,0.010701287,3.002235565,0.010701287,3.002235565,50,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,146,0.004224269,3.183683918,0.004224269,3.183683918,0.004224269,3.183683918,21,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,150,0.079494911,1.934393754,0.079494911,1.934393754,0.079494911,1.934393754,20,1,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,152,0.253052985,1.327714089,0.253052985,1.327714089,0.253052985,1.327714089,14,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,156,0.00473636,3.173587075,0.00473636,3.173587075,0.00473636,3.173587075,24,1,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,157,0.120188216,1.773603229,0.120188216,1.773603229,0.120188216,1.773603229,13,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,159,0.001256001,3.056126997,0.001256001,3.056126997,0.001256001,3.056126997,140,30,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,160,0.003326634,3.277181773,0.003326634,3.277181773,0.003326634,3.277181773,46,0,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,164,0.012442321,2.985648934,0.012442321,2.985648934,0.012442321,2.985648934,49,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,165,0.003437893,3.365336283,0.003437893,3.365336283,0.003437893,3.365336283,,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,180,0.016568959,2.700942392,0.016568959,2.700942392,0.016568959,2.700942392,14,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,194,0.013343961,2.805097968,0.013343961,2.805097968,0.013343961,2.805097968,44,,Fork Length,Centimeters,Total Weight,Grams
Georges Bank,200,0.001748675,3.250461742,0.001748675,3.250461742,0.001748675,3.250461742,150,0,Total Length,Centimeters,Total Weight,Grams
Georges Bank,201,0.007477269,3.060128713,0.007477269,3.060128713,0.007477269,3.060128713,150,0,Total Length,Centimeters,Total Weight,Grams
Georges Bank,202,0.00398299,3.037292267,0.00398299,3.037292267,0.00398299,3.037292267,100,0,Total Length,Centimeters,Total Weight,Grams
Georges Bank,203,0.003718657,3.124869859,0.003718657,3.124869859,0.003718657,3.124869859,100,0,Total Length,Centimeters,Total Weight,Grams
Georges Bank,204,0.003011441,3.191074683,0.003011441,3.191074683,0.003011441,3.191074683,150,0,Total Length,Centimeters,Total Weight,Grams
