SAMPLING_REQUIREMENT,SPECIES_CODE,OBSERVATION_GROUP,PROCESS_ORDER,STRATIFY_BY_SEX,LENGTH_GROUP,NUM_OBS_LGRP_STRATA_GROUP,NUM_OBS_LGRP_MISSION,STRATA_GROUP,MIN_LENGTH,MAX_LENGTH,ACTIVE,NUM_OBS_LENGTH_GROUP,SEX_CODE,MATURITY_CODE,WHEN_FISH_NUMBER,NUM_OBS_MISSION,NAFO_UAREA_GROUP,NUM_OBS_LGRP_NAFO_UAREA_GROUP,STATION_GROUP,NUM_OBS_LGRP_STATION_GROUP
Comparative,42,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,43,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,44,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,49,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,50,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,51,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,52,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,60,standard,1,N,1,,,,,,Y,2,,,,,,,,
Comparative,61,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,62,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,63,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,64,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,65,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,70,standard,1,N,1,,,,,,Y,2,,,,,,,,
Comparative,94,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,112,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,113,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,114,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,115,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,122,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,123,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,141,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,142,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,143,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,147,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,149,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,150,standard,1,N,1,,,,,,Y,1,,,,,,,,
Comparative,155,standard,1,N,1,,,,,,Y,1,,,,,,,,
