MISSION,SPECIES_CODE,OBSERVATION_GROUP,LV1_OBSERVATION,PROCESS_ORDER,ACTIVE
TEL2021002,10,Condition Sampling,Carcass Weight,2,Y
TEL2021002,10,Condition Sampling,Liver Weight,1,Y
TEL2021002,10,standard,Age Material Type,5,Y
TEL2021002,10,standard,Fish Number,6,Y
TEL2021002,10,standard,Length,1,Y
TEL2021002,10,standard,Maturity,4,Y
TEL2021002,10,standard,Sex,3,Y
TEL2021002,10,standard,Weight,2,Y
TEL2021002,11,5Z1 and 5Z4 Med Otolith Cap,Age Material Type,5,Y
TEL2021002,11,5Z1 and 5Z4 Med Otolith Cap,Fish Number,6,Y
TEL2021002,11,5Z1 and 5Z4 Med Otolith Cap,Length,1,Y
TEL2021002,11,5Z1 and 5Z4 Med Otolith Cap,Maturity,4,Y
TEL2021002,11,5Z1 and 5Z4 Med Otolith Cap,Sex,3,Y
TEL2021002,11,5Z1 and 5Z4 Med Otolith Cap,Weight,2,Y
TEL2021002,11,5Z1 Otolith Cap,Age Material Type,5,Y
TEL2021002,11,5Z1 Otolith Cap,Fish Number,6,Y
TEL2021002,11,5Z1 Otolith Cap,Length,1,Y
TEL2021002,11,5Z1 Otolith Cap,Maturity,4,Y
TEL2021002,11,5Z1 Otolith Cap,Sex,3,Y
TEL2021002,11,5Z1 Otolith Cap,Weight,2,Y
TEL2021002,11,5Z1-5Z4 Small Otolith Cap,Age Material Type,5,Y
TEL2021002,11,5Z1-5Z4 Small Otolith Cap,Fish Number,6,Y
TEL2021002,11,5Z1-5Z4 Small Otolith Cap,Length,1,Y
TEL2021002,11,5Z1-5Z4 Small Otolith Cap,Maturity,4,Y
TEL2021002,11,5Z1-5Z4 Small Otolith Cap,Sex,3,Y
TEL2021002,11,5Z1-5Z4 Small Otolith Cap,Weight,2,Y
TEL2021002,11,5Z2 Med Otolith Cap,Age Material Type,5,Y
TEL2021002,11,5Z2 Med Otolith Cap,Fish Number,6,Y
TEL2021002,11,5Z2 Med Otolith Cap,Length,1,Y
TEL2021002,11,5Z2 Med Otolith Cap,Maturity,4,Y
TEL2021002,11,5Z2 Med Otolith Cap,Sex,3,Y
TEL2021002,11,5Z2 Med Otolith Cap,Weight,2,Y
TEL2021002,11,5Z2 Otolith Cap,Age Material Type,5,Y
TEL2021002,11,5Z2 Otolith Cap,Fish Number,6,Y
