mission_number,set_number,species_code,id,set,species,specimen_count,unweighed_baskets,notes,created_at,parent_catch,catch_ratio,is_parent,set_id,species_id,parent_catch_id
CJC-2021-222,2,12,257,Set 2 (CJC-2021-222),White hake (12),,,,2021-08-31 19:57:20.980000+00:00,,,False,100,12,
CJC-2021-222,2,23,250,Set 2 (CJC-2021-222),Redfish unidentified (23),,,,2021-08-31 18:24:06.337000+00:00,,,False,100,23,
CJC-2021-222,2,31,253,Set 2 (CJC-2021-222),Greenland halibut (31),,,,2021-08-31 19:53:10.308000+00:00,,,False,100,31,
CJC-2021-222,2,40,273,Set 2 (CJC-2021-222),American plaice (40),,,,2021-08-31 20:59:55.526000+00:00,,,False,100,40,
CJC-2021-222,2,41,265,Set 2 (CJC-2021-222),Witch flounder (41),,,,2021-08-31 20:52:45.566000+00:00,,,False,100,41,
CJC-2021-222,2,112,276,Set 2 (CJC-2021-222),Longfin hake (112),,,,2021-08-31 21:03:01.754000+00:00,,,False,100,112,
CJC-2021-222,2,114,262,Set 2 (CJC-2021-222),Fourbeard rockling (114),,,,2021-08-31 20:11:29.682000+00:00,,,False,100,114,
CJC-2021-222,2,201,284,Set 2 (CJC-2021-222),Thorny skate (201),,,,2021-08-31 21:10:33.544000+00:00,,,False,100,201,
CJC-2021-222,2,202,274,Set 2 (CJC-2021-222),Smooth skate (202),,,,2021-08-31 21:00:15.599000+00:00,,,False,100,202,
CJC-2021-222,2,205,256,Set 2 (CJC-2021-222),Spinytail skate (205),,,,2021-08-31 19:56:44.285000+00:00,,,False,100,205,
CJC-2021-222,2,241,264,Set 2 (CJC-2021-222),Atlantic hagfish (241),,,,2021-08-31 20:52:07.445000+00:00,,,False,100,241,
CJC-2021-222,2,400,254,Set 2 (CJC-2021-222),Monkfish (400),,,,2021-08-31 19:53:38.435000+00:00,,,False,100,400,
CJC-2021-222,2,410,259,Set 2 (CJC-2021-222),Marlin-spike grenadier (410),,,,2021-08-31 20:02:21.844000+00:00,,,False,100,410,
CJC-2021-222,2,610,271,Set 2 (CJC-2021-222),Northern sand lance (610),,,,2021-08-31 20:58:45.496000+00:00,,,False,100,610,
CJC-2021-222,2,727,270,Set 2 (CJC-2021-222),White barracudina (727),,,,2021-08-31 20:58:23.580000+00:00,,,False,100,727,
CJC-2021-222,2,1224,261,Set 2 (CJC-2021-222),Eggs -Skate (1224),,,empty skate egg purse (i.e. casing),2021-08-31 20:06:31.838000+00:00,,,False,100,1224,
CJC-2021-222,2,1810,291,Set 2 (CJC-2021-222),Tunicate unidentified (1810),,,,2021-08-31 21:16:36.824000+00:00,,,False,100,1810,
CJC-2021-222,2,1823,287,Set 2 (CJC-2021-222),Sea potato (1823),,,,2021-08-31 21:13:12.233000+00:00,,,False,100,1823,
CJC-2021-222,2,2100,263,Set 2 (CJC-2021-222),Decapod unidentified (2100),,,frozen,2021-08-31 20:17:27.077000+00:00,,,False,100,2100,
CJC-2021-222,2,2523,255,Set 2 (CJC-2021-222),Northern stone crab (2523),,,,2021-08-31 19:55:21.775000+00:00,,,False,100,2523,
CJC-2021-222,2,2526,258,Set 2 (CJC-2021-222),Snow crab (2526),,,,2021-08-31 20:00:25.362000+00:00,,,False,100,2526,
CJC-2021-222,2,2980,282,Set 2 (CJC-2021-222),Isopoda unidentified (2980),,,,2021-08-31 21:09:32.150000+00:00,,,False,100,2980,
CJC-2021-222,2,3100,288,Set 2 (CJC-2021-222),Bristle worm unidentified (3100),,,,2021-08-31 21:13:39.055000+00:00,,,False,100,3100,
CJC-2021-222,2,3200,289,Set 2 (CJC-2021-222),Aphrodita hastata (3200),,,,2021-08-31 21:15:19.336000+00:00,,,False,100,3200,
CJC-2021-222,2,4511,260,Set 2 (CJC-2021-222),Northern shortfin squid (4511),,,,2021-08-31 20:02:40.275000+00:00,,,False,100,4511,
