id,name,nom,description_eng,description_fra,uuid,data_type,zero_is_acceptable,triggers_fish_number,triggers_stamp,units_to_display,special_type,created_at,updated_at,created_by,last_modified_by,created_by_id,last_modified_by_id,data_type_display,display_categories
27,Abdominal Width,None,Width of second segment of the abdomen (first segment when female is held upside down),None,a7bb455d-aeac-4cad-bffc-063f8e037463,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:01.884000+00:00,None,dave,None,9,float,
5,Age Material Type,None,Age Material Type,None,e810647e-29f6-452d-af94-8e1281e75423,1,False,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:02.613000+00:00,None,None,None,None,integer/categorical,0-not taken (NEW);  1-Otolith taken;  2-Scales taken;  3-Rays taken;  4-Vertebrae taken;  5-Otolith and scales taken;  9-Special Sampling
49,Balance Precision (g),None,Balance Precision (g),None,3f11a239-0da7-43b5-9687-5c9c86791105,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:02.656000+00:00,None,None,None,None,float,
40,Bobtail,None,Bobtail,None,2cfbbf80-ad3c-4e14-ab2a-b76d94577d59,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:54:51.106000+00:00,None,None,None,None,integer/categorical,0-false;  1-true
22,Carcass Weight,None,Carcass weight (all viscera removed),None,4eca43fd-e1be-41ee-8e8a-b2476ff72074,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:02.990000+00:00,None,None,None,None,float,
2,Chelae Height,None,Male Snow Crab Right Claw Height,None,cb0794c3-3127-4252-adea-6859dbe64928,2,True,False,False,1,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:55:33.982000+00:00,None,dave,None,9,float,
25,Clasper Development Stage,None,Stage of Clasper maturity,None,6fa18983-1c74-4994-a27c-a42d629cd7fb,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:03.582000+00:00,None,None,None,None,integer/categorical,1-Plastic; completely flexible;  2-Semi-calcified; somewhat rigid;  3-Calcified; completely rigid
24,Clasper Length,None,"Measured dorsally, from clasper/pelvic fin intersect to distal end of clasper",None,e9571e39-e804-4ece-9b97-5f497b2c76fc,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:03.624000+00:00,None,None,None,None,float,
30,Clutch Fullness Rate,None,Fullness of the clutch,None,90bef242-922a-491a-965d-5bfd1728010b,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:03.915000+00:00,None,None,None,None,integer/categorical,100-Normal (>75 % full);  25-Abnormal (<25 % full);  50-Sub-normal (25-75 % full)
31,Collect Leg Sample,None,Cut tip of second walking leg,None,38af8bb2-e163-48de-ac79-2beb1dfc35ad,1,False,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:04.524000+00:00,None,None,None,None,integer/categorical,0-Not collected;  1-Collected
