MISSION,SPECIES_CODE,OBSERVATION_GROUP,PROCESS_ORDER,STRATIFY_BY_SEX,LENGTH_GROUP,NUM_OBS_LGRP_STRATA_GROUP,NUM_OBS_LGRP_MISSION,STRATA_GROUP,MIN_LENGTH,MAX_LENGTH,ACTIVE,NUM_OBS_LENGTH_GROUP,SEX_CODE,MATURITY_CODE,WHEN_FISH_NUMBER,NUM_OBS_MISSION,NAFO_UAREA_GROUP,NUM_OBS_LGRP_NAFO_UAREA_GROUP,STATION_GROUP,NUM_OBS_LGRP_STATION_GROUP
TEL2021002,10,Condition Sampling,2,N,3,,,5Z1 to 5Z4,,,Y,3,,,,,,,,
TEL2021002,10,standard,1,N,3,,,,,,Y,3,,,,,,,,
TEL2021002,11,5Z1 and 5Z4 Med Otolith Cap,9,N,2,2,,"5Z1, 5Z4",20,29,Y,2,,,,,,,,
TEL2021002,11,5Z1 Otolith Cap,2,N,2,2,,5Z1,30,,Y,2,,,,,,,,
TEL2021002,11,5Z1-5Z4 Small Otolith Cap,10,N,2,5,,5Z1 to 5Z4,,19,Y,2,,,,,,,,
TEL2021002,11,5Z2 Med Otolith Cap,8,N,2,5,,5Z2,20,29,Y,2,,,,,,,,
TEL2021002,11,5Z2 Otolith Cap,3,N,2,8,,5Z2,30,,Y,2,,,,,,,,
TEL2021002,11,5Z3 Med Otolith Cap,7,N,2,5,,5Z3,20,29,Y,2,,,,,,,,
TEL2021002,11,5Z3 Otolith Cap,4,N,2,8,,5Z3,30,,Y,2,,,,,,,,
TEL2021002,11,5Z4 Otolith Cap,5,N,2,4,,5Z4,30,,Y,2,,,,,,,,
TEL2021002,11,5Z5-5Z8 Otolith Cap,6,N,2,10,,5Z5 to 5Z8,30,,Y,2,,,,,,,,
TEL2021002,11,5Z5-5Z8 Small Otolith Cap,11,N,2,5,,5Z5 to 5Z8,,29,Y,2,,,,,,,,
TEL2021002,11,5Z9 Otolith Cap,12,N,2,3,,5Z9,,,Y,2,,,,,,,,
TEL2021002,11,standard,1,N,2,30,,"5Z1-5Z4, 5Z9",20,40,Y,1,,,N,,,,,
TEL2021002,12,standard,1,N,3,,,,,,Y,3,,,,,,,,
TEL2021002,13,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,14,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,15,standard,1,N,3,,,,,,Y,3,,,,,,,,
TEL2021002,16,standard,1,N,3,,,,,,Y,3,,,,,,,,
TEL2021002,19,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,23,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,30,Genetic Sampling,3,Y,1,,,,,,Y,5,,,,,,,,
TEL2021002,30,standard,1,Y,3,,,,,,Y,3,,,,,,,,
TEL2021002,30,Stomach Sampling,2,Y,3,,,,,,Y,3,,,,,,,,
TEL2021002,31,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,40,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,41,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,42,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,43,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,44,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,49,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,50,standard,1,N,3,,,,,,Y,3,,,,,,,,
TEL2021002,51,standard,1,N,3,,,,,,Y,3,,,,,,,,
TEL2021002,52,standard,1,N,3,,,,,,Y,3,,,,,,,,
TEL2021002,60,All Small Fish (<125),2,N,5,,,,,124,Y,2,,,,,,,,
TEL2021002,60,Eastern Georges Bank (125-239),3,N,5,,,,125,239,Y,1,,,,,,,,
TEL2021002,60,Eastern Georges Bank (240+),4,N,5,,,,,,Y,1,,,,,,,,
TEL2021002,60,standard,1,N,5,,,,,,Y,1,,,,,,,,
TEL2021002,60,Western Georges Bank (125-239),5,N,5,,,,125,239,Y,1,,,,,,,,
TEL2021002,60,Western Georges Bank (240+),6,N,5,,,,240,,Y,1,,,,,,,,
TEL2021002,61,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,62,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,64,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,70,standard,1,N,1,,,,,,Y,2,,,,,,,,
TEL2021002,112,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,114,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,122,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,123,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,141,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,142,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,143,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,150,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,156,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,159,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,160,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,165,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,200,standard,1,Y,3,,,,,,Y,3,,,,,,,,
TEL2021002,201,standard,1,Y,3,,,,,,Y,3,,,,,,,,
TEL2021002,202,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,203,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,204,standard,1,Y,3,,,,,,Y,3,,,,,,,,
TEL2021002,216,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,220,standard,1,Y,3,,,,,,Y,3,,,,,,,,
TEL2021002,221,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,241,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,243,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,247,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,248,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,300,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,301,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,303,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,304,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,306,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,320,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,323,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,330,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,340,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,350,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,400,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,400,Tail Weight,2,N,1,,,,40,,Y,1,,,,60,,,,
TEL2021002,410,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,411,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,412,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,414,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,501,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,502,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,503,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,590,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,602,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,604,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,610,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,613,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,619,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,620,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,622,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,623,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,625,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,630,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,640,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,647,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,701,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,704,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,712,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,880,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,1191,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2000,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,2511,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2512,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2513,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2519,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2521,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2523,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2526,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2527,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2528,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2531,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2532,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,2550,Berried Females,4,Y,1,,,,51,,N,1,3,,,,,,,
TEL2021002,2550,Females,3,Y,1,,,,51,,N,1,2,,,,,,,
TEL2021002,2550,Males,2,Y,1,,,,51,,N,1,1,,,,,,,
TEL2021002,2550,standard,1,Y,1,,,,,,Y,1,,,,,,,,
TEL2021002,4321,standard,1,N,1,,,,,,Y,0,,,,,,,,
TEL2021002,4322,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,4500,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,4511,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,4512,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,8601,standard,1,N,1,,,,,,Y,1,,,,,,,,
TEL2021002,9999,standard,1,N,1,,,,,,Y,1,,,,,,,,
