mission_number,set_number,species_code,id,catch,size_class,basket_wt_kg,sampled,creation_date,last_modified_date,catch_id
CJC-2021-222,2,12,248,White hake (12) from Set 2 (CJC-2021-222),1,19.29,True,2021-08-31 19:57:24.353000+00:00,2021-08-31 21:12:48.466000+00:00,257
CJC-2021-222,2,23,230,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,6.419999999999998,True,2021-08-31 18:26:54.680000+00:00,2021-08-31 20:13:56.011000+00:00,250
CJC-2021-222,2,23,231,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,40.42,True,2021-08-31 18:42:48.778000+00:00,2021-08-31 18:42:48.778000+00:00,250
CJC-2021-222,2,23,229,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,174.0,False,2021-08-31 18:24:14.401000+00:00,2021-08-31 18:24:14.401000+00:00,250
CJC-2021-222,2,23,232,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,172.0,False,2021-08-31 18:43:30.426000+00:00,2021-08-31 18:43:30.426000+00:00,250
CJC-2021-222,2,23,233,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,264.0,False,2021-08-31 19:14:23.265000+00:00,2021-08-31 19:14:23.265000+00:00,250
CJC-2021-222,2,23,234,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,19.0,False,2021-08-31 19:25:54.901000+00:00,2021-08-31 19:25:54.901000+00:00,250
CJC-2021-222,2,23,235,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,32.48,False,2021-08-31 19:42:31.804000+00:00,2021-08-31 19:42:31.804000+00:00,250
CJC-2021-222,2,23,236,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,35.8,False,2021-08-31 19:43:24.562000+00:00,2021-08-31 19:43:24.562000+00:00,250
CJC-2021-222,2,23,237,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,13.74,False,2021-08-31 19:45:18.418000+00:00,2021-08-31 19:45:18.418000+00:00,250
CJC-2021-222,2,23,238,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,15.0,False,2021-08-31 19:45:57.737000+00:00,2021-08-31 19:45:57.737000+00:00,250
CJC-2021-222,2,23,239,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,29.94,False,2021-08-31 19:46:42.947000+00:00,2021-08-31 19:46:42.948000+00:00,250
CJC-2021-222,2,23,240,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,35.82,False,2021-08-31 19:46:56.834000+00:00,2021-08-31 19:46:56.834000+00:00,250
CJC-2021-222,2,23,241,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,35.88,False,2021-08-31 19:48:08.249000+00:00,2021-08-31 19:48:08.249000+00:00,250
CJC-2021-222,2,23,254,Redfish unidentified (23) from Set 2 (CJC-2021-222),1,25.88,False,2021-08-31 20:13:56.017000+00:00,2021-08-31 20:13:56.017000+00:00,250
CJC-2021-222,2,31,244,Greenland halibut (31) from Set 2 (CJC-2021-222),1,1.0,True,2021-08-31 19:53:14.641000+00:00,2021-08-31 19:53:14.641000+00:00,253
CJC-2021-222,2,40,264,American plaice (40) from Set 2 (CJC-2021-222),1,0.111,True,2021-08-31 21:00:02.961000+00:00,2021-08-31 21:00:02.961000+00:00,273
CJC-2021-222,2,41,257,Witch flounder (41) from Set 2 (CJC-2021-222),1,2.127,True,2021-08-31 20:52:49.666000+00:00,2021-08-31 20:52:49.666000+00:00,265
CJC-2021-222,2,112,267,Longfin hake (112) from Set 2 (CJC-2021-222),1,0.118,True,2021-08-31 21:03:05.937000+00:00,2021-08-31 21:03:05.937000+00:00,276
CJC-2021-222,2,112,279,Longfin hake (112) from Set 2 (CJC-2021-222),1,0.69,True,2021-08-31 21:12:48.475000+00:00,2021-08-31 21:12:48.475000+00:00,276
CJC-2021-222,2,114,253,Fourbeard rockling (114) from Set 2 (CJC-2021-222),1,0.034,True,2021-08-31 20:11:42.854000+00:00,2021-08-31 20:11:42.854000+00:00,262
CJC-2021-222,2,201,276,Thorny skate (201) from Set 2 (CJC-2021-222),1,0.004,True,2021-08-31 21:10:38.917000+00:00,2021-08-31 21:29:06.424000+00:00,284
CJC-2021-222,2,202,265,Smooth skate (202) from Set 2 (CJC-2021-222),1,1.473,True,2021-08-31 21:00:38.566000+00:00,2021-08-31 21:00:38.566000+00:00,274
CJC-2021-222,2,205,247,Spinytail skate (205) from Set 2 (CJC-2021-222),1,10.4,True,2021-08-31 19:56:57.546000+00:00,2021-08-31 19:56:57.546000+00:00,256
CJC-2021-222,2,241,256,Atlantic hagfish (241) from Set 2 (CJC-2021-222),1,1.161,True,2021-08-31 20:52:12.980000+00:00,2021-08-31 20:52:12.981000+00:00,264
CJC-2021-222,2,400,245,Monkfish (400) from Set 2 (CJC-2021-222),1,3.74,True,2021-08-31 19:53:55.552000+00:00,2021-08-31 19:53:55.552000+00:00,254
CJC-2021-222,2,410,250,Marlin-spike grenadier (410) from Set 2 (CJC-2021-222),1,1.897,True,2021-08-31 20:02:33.073000+00:00,2021-08-31 21:34:35.835000+00:00,259
CJC-2021-222,2,410,285,Marlin-spike grenadier (410) from Set 2 (CJC-2021-222),1,0.068,False,2021-08-31 21:34:35.842000+00:00,2021-08-31 21:34:35.842000+00:00,259
CJC-2021-222,2,610,262,Northern sand lance (610) from Set 2 (CJC-2021-222),1,0.002,True,2021-08-31 20:58:49.913000+00:00,2021-08-31 20:58:49.913000+00:00,271
CJC-2021-222,2,727,261,White barracudina (727) from Set 2 (CJC-2021-222),1,0.031,True,2021-08-31 20:58:27.273000+00:00,2021-08-31 20:58:27.273000+00:00,270
CJC-2021-222,2,1224,252,Eggs -Skate (1224) from Set 2 (CJC-2021-222),1,0.004,False,2021-08-31 20:06:55.326000+00:00,2021-08-31 20:06:55.326000+00:00,261
